name,category,tier,address,city,zip,phone,email,website,lat,lng,google_rating,google_review_count,business_status,google_maps_url,owner_name,business_structure,chain_affiliation,is_independent,website_quality_score,data_source,last_verified,notes
Wehr's Auto Service Inc,auto_repair,1,536 S Centre St,Pottsville,17901,(570) 622-5718,,,,,5.0,42,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,AAA Approved and NAPA Auto Care center; family owned
Vince's Auto Repair,auto_repair,1,410 E Railroad St,Pottsville,17901,(570) 622-7660,,,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,NAPA Auto Care facility
Wentz Automotive,auto_repair,1,17 Woodside Rd,Pottsville,17901,(570) 617-0007,,,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,NAPA Auto Care facility
DME Alignment & Suspension,auto_repair,1,348 Anderson St,Pottsville,17901,(570) 728-2473,,https://www.dmealignment.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Specializes in alignment and suspension
Moyer's Car Care Center Inc,auto_repair,1,102 S Route 183,Schuylkill Haven,17972,(570) 798-5261,,https://moyerscarcare.net/,,,5.0,58,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,AAA Approved; ASE certified technicians; family owned
Joe Thurs Automotive LLC,auto_repair,1,712 W Market St,Orwigsburg,17961,(570) 366-4600,,https://www.joethursautomotive.com/,,,4.9,39,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,AAA Approved; also has Ashland location
Joe Thurs Automotive - Ashland,auto_repair,1,635 Fountain St,Ashland,17921,(570) 875-3212,,https://www.joethursautomotive.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Second location of Joe Thurs Automotive
Right Turn Automotive Inc,auto_repair,1,218 Lincoln Dr,Tamaqua,18252,(570) 668-0900,,http://www.rightturnautomotive.com/,,,4.5,59,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,AAA Approved and NAPA Auto Care; ASE certified; family owned
Foran's Transmission & Auto Repair,auto_repair,1,1 N 6th St,Minersville,17954,(570) 544-6509,,,,,5.0,12,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,Transmission specialist
Mahanoy Automotive,auto_repair,1,739 W Centre St,Mahanoy City,17948,(570) 773-3115,,http://www.mahanoyauto.com/,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,General auto repairs; tires; state inspections
Jeck's Service Center,auto_repair,1,334 Tremont Rd,Pine Grove,17963,(570) 345-4300,,https://www.jecksservicecenter.com/,,,4.6,108,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,NAPA Auto Care; Goodyear dealer; in business 69 years
Stump's Garage Inc,auto_repair,1,99 Oak Grove Rd,Pine Grove,17963,(570) 345-4060,,,,,,,OPERATIONAL,,,,,Yes,,web_search,2026-03-15,In business since 1982
